compoundName,AmphibianX,BirdsX,CrustaceansX,FishX,InsectX,InvertebratesX,MammalsX,MoluscsX,ReptilesX,WormsX,AlgaeX,FungiX,MossX,FlowerX,AmphibianY,BirdsY,CrustaceansY,FishY,InsectY,InvertebratesY,MammalsY,MoluscsY,ReptilesY,WormsY,AlgaeY,FungiY,MossY,FlowerY
126833-17-8,0,0,5.201540572,6.166426952,0,0,0,0,0,0,7.082354164,0,0,0,6.150107229,0.940512994,2.20E-10,2.20E-10,0.255072251,0.42411134,2.20E-10,2.20E-10,2.20E-10,2.20E-10,2.20E-10,2.20E-10,0.259536363,2.20E-10
129453-61-8,8.783031258,0,8.783031258,5.300157674,0,10.30591,0,0,0,0,0,0,0,0,8.293032548,2.120469534,0.183181993,8.98E-05,0.183181993,0.069485967,8.98E-05,0.119896838,8.98E-05,8.98E-05,8.98E-05,8.98E-05,8.98E-05,8.98E-05
131341-86-1,6.549683439,0,6.863302562,6.792721488,0,0,0,0,0,0,0,0,0,0,6.73523583,0.16452261,1.283738252,0,1.791054264,2.281254385,0,0,0,0,0,0,0,0
131860-33-8,7.551498878,0,7.634917177,8.906758784,7.634917177,7.438411454,0,0,0,3.906758784,8.025945192,8.605728788,0,6.906758784,7.401299447,1.444676293,0.274658043,5.52E-07,0.272559381,0.160448425,0.272559381,0.276055384,5.52E-07,5.52E-07,5.52E-07,0.01481101,0.251503335,0.195078503
131983-72-7,0,3.26664936,6.223424206,3.999998907,0,0,0,0,0,0,4.803207803,0,0,0,4.573320069,1.266461939,0.000464204,0.184996465,0.134798846,0.284326482,0.000464204,0.000464204,0.000464204,0.000464204,0.000464204,0.000464204,0.309858244,0.000464204
133855-98-8,0,0,0,6.217168769,0,0,0,6.857712749,0,0,8.156470929,0,0,0,7.077117482,0.988092629,2.93E-12,2.93E-12,2.93E-12,0.276462235,2.93E-12,2.93E-12,2.93E-12,0.393917995,2.93E-12,2.93E-12,0.222331553,2.93E-12
134098-61-6,0,3.962039747,7.963932101,7.301034014,0,0,0,0,0,0,0,0,0,0,6.409001954,2.144895452,0.002141654,0.097025981,0.143015594,0.170586984,0.002141654,0.002141654,0.002141654,0.002141654,0.002141654,0.002141654,0.002141654,0.002141654
134523-00-5,4.270018548,0,8.747139803,6.000000233,0,0,0,0,0,0,0,5.747139803,0,6.270018548,6.206863387,1.617289315,0.12041665,0.00015624,0.071845353,0.244663823,0.00015624,0.00015624,0.00015624,0.00015624,0.00015624,0.00015624,0.00015624,0.236906282
135285-90-4,0,2.254450662,7.340632467,5.226689114,0,0,0,0,0,7.641662462,4.309224002,0,0,1.659210311,4.738644836,2.500982932,0.026500518,0.097399712,0.092844997,0.156505776,0.026500518,0.026500518,0.026500518,0.026500518,0.026500518,0.081325682,0.157180108,0.026500518
135410-20-7,0,0,7.870553522,6.724425486,8.648704772,0,0,6.171583518,0,6.092402271,3.99999922,0,0,0,6.584611465,1.614110191,6.02E-05,6.02E-05,0.179949652,0.246233779,0.109113933,6.02E-05,6.02E-05,0.239198589,6.02E-05,0.23593073,0.068580893,6.02E-05
138261-41-3,4.310758377,4.463185718,7.453425881,4.602059312,7.416442315,3.863600346,4.40766839,5.152395885,0,5.951606166,7.292057879,0,0,7.945270392,5.714406424,1.538347073,0.171029433,0.186295829,0.136886662,0.199674055,0.140617228,0.125758982,0.180789179,0.242590238,0.00026154,0.256267227,0.153274754,0.00026154
