compoundName,AmphibianX,BirdsX,CrustaceansX,FishX,InsectX,InvertebratesX,MammalsX,MoluscsX,ReptilesX,WormsX,AlgaeX,FungiX,MossX,FlowerX,AmphibianY,BirdsY,CrustaceansY,FishY,InsectY,InvertebratesY,MammalsY,MoluscsY,ReptilesY,WormsY,AlgaeY,FungiY,MossY,FlowerY
111-68-2,0,0,4.09,3.76,0,0,0,0,0,0,4.31,0,0,0,9.60E-47,9.60E-47,1.42,0.82,9.60E-47,9.60E-47,9.60E-47,9.60E-47,9.60E-47,9.60E-47,0.93,9.60E-47,9.60E-47,9.60E-47
111-70-6,0,0,4.28,2.41,0,0,0,0,0,0,3.38,0,0,3.13,5.42E-05,5.42E-05,0.23,0.27,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,0.52,5.42E-05,5.42E-05,0.51
111-71-7,3.43,0,0,0,0,0,0,0,0,0,3.8,0,0,2.89,0.86,2.02E-12,2.02E-12,2.02E-12,2.02E-12,2.02E-12,2.02E-12,2.02E-12,2.02E-12,2.02E-12,0.56,2.02E-12,2.02E-12,0.49
111-87-5,0,0,4.49,4.04,0,3.49,0,0,0,0,4.88,0,0,3.52,9.14E-11,9.14E-11,0.52,0.66,9.14E-11,0.41,9.14E-11,9.14E-11,9.14E-11,9.14E-11,0.28,9.14E-11,9.14E-11,0.43
112-02-7,0,0,0,0,0,6.68,0,0,0,0,6.37,0,0,6.6,0,0,0,0,0,1.79,0,0,0,0,1.32,0,0,2.34
112-05-0,0,0,3.22,0,0,0,0,0,0,0,5.5,0,0,3.05,0,0,0.26,0,0,0,0,0,0,0,0.15,0,0,0.24
112-30-1,0,0,4.39,0,5.07,0,0,0,0,0,0,0,0,3.31,4.68E-06,4.68E-06,0.44,4.68E-06,0.29,4.68E-06,4.68E-06,4.68E-06,4.68E-06,4.68E-06,4.68E-06,4.68E-06,4.68E-06,0.25
114-07-8,0,0,6.52,0,0,5.89,0,0,0,0,6.75,0,0,5.87,3.46E-43,3.46E-43,0.75,3.46E-43,3.46E-43,0.64,3.46E-43,3.46E-43,3.46E-43,3.46E-43,0.49,3.46E-43,3.46E-43,0.61
114-26-1,0,0,7.28,4.84,6.51,0,4.72,5.32,0,2.63,5.04,3.62,0,0,0,0,0.08,0.27,0.16,0,0.27,0.26,0,0.07,0.27,0.18,0,0
115-20-8,1.43,0,3,3.15,0,2.48,0,0,0,0,2.49,0,0,0,0.16,0,0.45,0.38,0,0.59,0,0,0,0,0.59,0,0,0
115-29-7,2.9,0,9.23,8.78,9.01,5.69,0,6.99,0,6.43,5.98,4.83,0,2.61,0.06,0.01,0.08,0.1,0.09,0.16,0.01,0.16,0.01,0.17,0.17,0.14,0.01,0.05
115-32-2,0,0,6.27,4.99,0,6.39,0,7.39,0,0,0,0,0,0,7.25E-10,7.25E-10,0.4,0.18,7.25E-10,0.4,7.25E-10,0.21,7.25E-10,7.25E-10,7.25E-10,7.25E-10,7.25E-10,7.25E-10
115-86-6,0,0,5.51,6.07,5.96,0,0,0,0,4.42,5.21,0,0,0,1.96E-15,1.96E-15,0.6,0.38,0.44,1.96E-15,1.96E-15,1.96E-15,1.96E-15,0.19,0.57,1.96E-15,1.96E-15,1.96E-15
116-06-3,0,0,6.57,5.65,7.38,0,0,4.33,0,3.28,3.58,3.32,0,0,0,0,0.14,0.21,0.08,0,0,0.23,0,0.15,0.18,0.16,0,0
